iteracion,van
0,18678981143.0
1,18678981143.0
2,18678981143.0
3,18678981143.0
4,18678981143.0
5,18678981143.0
6,18678981143.0
7,18678981143.0
8,18678981143.0
9,18678981143.0
10,18678981143.0
11,18678981143.0
12,18678981143.0
13,18678981143.0
14,18678981143.0
15,18678981143.0
16,18678981143.0
17,18678981143.0
18,18678981143.0
19,18678981143.0
20,18678981143.0
21,18678981143.0
22,18678981143.0
23,18678981143.0
24,18678981143.0
25,18678981143.0
26,18678981143.0
27,18678981143.0
28,18678981143.0
29,18678981143.0
30,18678981143.0
31,18678981143.0
32,18678981143.0
33,18678981143.0
34,18678981143.0
35,18678981143.0
36,18678981143.0
37,18678981143.0
38,18678981143.0
39,18678981143.0
40,18678981143.0
41,18678981143.0
42,18678981143.0
43,18678981143.0
44,18678981143.0
45,18678981143.0
46,18678981143.0
47,18678981143.0
48,18678981143.0
49,18678981143.0
50,18678981143.0
51,18678981143.0
52,18678981143.0
53,18678981143.0
54,18678981143.0
55,18678981143.0
56,18678981143.0
57,18678981143.0
58,18678981143.0
59,18678981143.0
60,18678981143.0
61,18678981143.0
62,18678981143.0
63,18678981143.0
64,18678981143.0
65,18678981143.0
66,18678981143.0
67,18678981143.0
68,18678981143.0
69,18678981143.0
70,18678981143.0
71,18678981143.0
72,18678981143.0
73,18678981143.0
74,18678981143.0
75,18678981143.0
76,18678981143.0
77,18678981143.0
78,18678981143.0
79,18678981143.0
80,18678981143.0
81,18678981143.0
82,18678981143.0
83,18678981143.0
84,18678981143.0
85,18678981143.0
86,18678981143.0
87,18678981143.0
88,18678981143.0
89,18678981143.0
90,18678981143.0
91,18678981143.0
92,18678981143.0
93,18678981143.0
94,18678981143.0
95,18678981143.0
96,18678981143.0
97,18678981143.0
98,18678981143.0
99,18678981143.0
100,18678981143.0
101,18678981143.0
102,18678981143.0
103,18678981143.0
104,18678981143.0
105,18678981143.0
106,18678981143.0
107,18678981143.0
108,18678981143.0
109,18678981143.0
110,18678981143.0
111,18678981143.0
112,18678981143.0
113,18678981143.0
114,18678981143.0
115,18678981143.0
116,18678981143.0
117,18678981143.0
118,18678981143.0
119,18678981143.0
120,18678981143.0
121,18678981143.0
122,18678981143.0
123,18678981143.0
124,18678981143.0
125,18678981143.0
126,18678981143.0
127,18678981143.0
128,18678981143.0
129,18678981143.0
130,18678981143.0
131,18678981143.0
132,18678981143.0
133,18678981143.0
134,18678981143.0
135,18678981143.0
136,18678981143.0
137,18678981143.0
138,18678981143.0
139,18678981143.0
140,18678981143.0
141,18678981143.0
142,18678981143.0
143,18678981143.0
144,18678981143.0
145,18678981143.0
146,18678981143.0
147,18678981143.0
148,18678981143.0
149,18678981143.0
150,18678981143.0
151,18678981143.0
152,18678981143.0
153,18678981143.0
154,18678981143.0
155,18678981143.0
156,18678981143.0
157,18678981143.0
158,18678981143.0
159,18678981143.0
160,18678981143.0
161,18678981143.0
162,18678981143.0
163,18678981143.0
164,18678981143.0
165,18678981143.0
166,18678981143.0
167,18678981143.0
168,18678981143.0
169,18678981143.0
170,18678981143.0
171,18678981143.0
172,18678981143.0
173,18678981143.0
174,18678981143.0
175,18678981143.0
176,18678981143.0
177,18678981143.0
178,18678981143.0
179,18678981143.0
180,18678981143.0
181,18678981143.0
182,18678981143.0
183,18678981143.0
184,18678981143.0
185,18678981143.0
186,18678981143.0
187,18678981143.0
188,18678981143.0
189,18678981143.0
190,18678981143.0
191,18678981143.0
192,18678981143.0
193,18678981143.0
194,18678981143.0
195,18678981143.0
196,18678981143.0
197,18678981143.0
198,18678981143.0
199,18678981143.0
200,18678981143.0
