profile,priority,payment_method,mean_normal,mean_oferta,mean_domingo
deal_hunter,no_priority,card,301.5655619143073,300.2359839955416,301.49586668085453
deal_hunter,no_priority,cash,294.2889311343428,296.1665470370034,301.55492032503633
deal_hunter,pregnant,card,241.65095438236355,250.77582878800098,232.13132510860564
deal_hunter,pregnant,cash,231.32700291543927,249.886623739849,257.7759748157215
deal_hunter,reduced_mobility,card,233.12578297010103,236.00370401379712,281.15928164681213
deal_hunter,reduced_mobility,cash,265.0947547656966,268.680696044091,245.81920397454826
deal_hunter,senior,card,257.85190166702967,268.062361134227,267.1028493856772
deal_hunter,senior,cash,266.4833133025723,260.20752913095606,261.04006028795607
express_basket,no_priority,card,240.16779547556118,240.25264955615094,239.76868383674767
express_basket,no_priority,cash,232.44140794128404,242.33138887624057,240.52516796074048
express_basket,pregnant,card,202.2628234990793,216.87977035129768,206.27775505248897
express_basket,pregnant,cash,195.9513374388159,178.0955434346162,188.90212095237163
express_basket,reduced_mobility,card,209.6265054694309,205.00705081126387,206.43509941962424
express_basket,reduced_mobility,cash,176.35085634431599,232.59683094578824,219.4253950077713
express_basket,senior,card,210.62207766124436,208.69638611924748,216.34415393281537
express_basket,senior,cash,206.85448614570015,235.51149059308273,200.21695098541215
family_cart,no_priority,card,737.2520095907839,720.2932025978246,713.3514343414743
family_cart,no_priority,cash,720.3926572256353,730.8942867776977,711.309010631146
family_cart,pregnant,card,652.96960728676,608.8860321869673,615.7591771574236
family_cart,pregnant,cash,618.1693649759216,554.2270354305023,616.4936534728673
family_cart,reduced_mobility,card,683.0443679831036,626.1512839089498,643.6538781432253
family_cart,reduced_mobility,cash,620.8207104424735,645.8315738706423,651.325756480701
family_cart,senior,card,624.8689601025673,589.1200852176763,682.1906165980515
family_cart,senior,cash,670.365339526988,610.4022800590016,643.698294012368
regular,no_priority,card,541.2648681334364,535.4496275274356,538.658494037601
regular,no_priority,cash,546.9926312572819,553.0792731082843,541.3566256968445
regular,pregnant,card,458.4932945737453,440.28598215433334,472.43229336423497
regular,pregnant,cash,350.63054290486923,538.1825675711498,449.21324978257076
regular,reduced_mobility,card,465.13797826673556,434.859682380527,424.442402179448
regular,reduced_mobility,cash,467.46760466242523,512.2438367972487,419.1433012828573
regular,senior,card,493.01827304360717,459.2215356103294,492.10970892991304
regular,senior,cash,531.406850008313,466.48001539367596,470.7183149987284
self_checkout_fan,no_priority,card,486.6026165545425,479.8446177509257,482.9231870325756
self_checkout_fan,no_priority,cash,481.11767819322193,530.3927492677392,486.1879417571252
self_checkout_fan,pregnant,card,409.08270839646633,400.9756969017535,403.83036525609685
self_checkout_fan,pregnant,cash,788.0471188173245,528.3296004223722,816.2575574756461
self_checkout_fan,reduced_mobility,card,405.35591950862226,423.83325048870944,393.8432333393094
self_checkout_fan,reduced_mobility,cash,506.59192321979214,217.20644018776062,324.55076389026885
self_checkout_fan,senior,card,416.0757647535661,432.9332425128637,440.95295880260693
self_checkout_fan,senior,cash,384.9647243160178,402.0111802295127,428.14587354553095
weekly_planner,no_priority,card,601.0409510127018,599.1542693036096,598.0277512713878
weekly_planner,no_priority,cash,600.4576114158082,602.2608849961573,600.8849356857609
weekly_planner,pregnant,card,521.4761249395214,485.7372840733856,524.3198399312207
weekly_planner,pregnant,cash,513.8725269097824,554.72259277173,507.84286848783256
weekly_planner,reduced_mobility,card,531.5322480176239,515.3297519908407,523.0636387778727
weekly_planner,reduced_mobility,cash,423.8602268491118,616.7690007894436,479.9246530497155
weekly_planner,senior,card,571.1833883750512,527.6339146124144,531.021146881348
weekly_planner,senior,cash,521.9637451575647,547.3075584913935,548.0200624003571
