tipo_dia,hora,lambda,scale,ajuste_95
normal,8,0.01958977,51.04705174,VERDADERO
normal,9,0.029275307,34.15848034,VERDADERO
normal,10,0.038859187,25.73394055,VERDADERO
normal,11,0.057757765,17.31368931,VERDADERO
normal,12,0.096460262,10.36696339,FALSO
normal,13,0.077783871,12.85613576,VERDADERO
normal,14,0.049150602,20.34563076,VERDADERO
normal,15,0.049623771,20.15163237,VERDADERO
normal,16,0.068129391,14.67795311,VERDADERO
normal,17,0.137408597,7.277565044,VERDADERO
normal,18,0.176150531,5.676962744,VERDADERO
normal,19,0.126031786,7.934506326,VERDADERO
normal,20,0.029006125,34.47547705,VERDADERO
normal,21,0.019457906,51.39299232,VERDADERO
oferta,8,0.010900599,91.73807577,VERDADERO
oferta,9,0.02205691,45.33726526,VERDADERO
oferta,10,0.054973724,18.19050877,VERDADERO
oferta,11,0.100521513,9.948119291,VERDADERO
oferta,12,0.199640507,5.009003519,VERDADERO
oferta,13,0.177634244,5.629545181,VERDADERO
oferta,14,0.066380897,15.06457502,VERDADERO
oferta,15,0.055052544,18.16446498,VERDADERO
oferta,16,0.06595843,15.16106442,VERDADERO
oferta,17,0.109807809,9.106820452,VERDADERO
oferta,18,0.155341044,6.43744867,VERDADERO
oferta,19,0.077578984,12.89008887,VERDADERO
oferta,20,0.011232372,89.02838839,VERDADERO
oferta,21,0.005523292,181.0514402,VERDADERO
domingo,8,0.015058646,66.40703178,VERDADERO
domingo,9,0.030602486,32.67708365,VERDADERO
domingo,10,0.075730718,13.2046814,VERDADERO
domingo,11,0.180890207,5.528215257,VERDADERO
domingo,12,0.226737016,4.410395883,VERDADERO
domingo,13,0.228119887,4.383659901,VERDADERO
domingo,14,0.214353712,4.665186301,VERDADERO
domingo,15,0.179985035,5.556017471,VERDADERO
domingo,16,0.153949632,6.495631001,VERDADERO
domingo,17,0.105442248,9.483864592,VERDADERO
domingo,18,0.060793007,16.44926024,VERDADERO
domingo,19,0.03037579,32.92095498,VERDADERO
domingo,20,0.015045495,66.46507857,VERDADERO
domingo,21,0.007512613,133.109482,VERDADERO
